Name RA Dec z
PTF09sk 202.71311249999997 30.334688888888888 0.0355
PTF10bzf 176.01244999999997 55.69101111111111 0.0498
PTF10gvb 183.88450416666663 40.302625 0.098
PTF10qts 250.40665833333333 28.97252222222222 0.0907
PTF10tqv 341.72941249999997 17.791500000000003 0.0795
PTF10vgv 334.00487083333326 40.867583333333336 0.015
PTF10xem 26.77868333333333 13.941319444444444 0.0566
PTF10ysd 355.2692041666666 24.168016666666666 0.0963
PTF10aavz 170.05565416666664 3.7459000000000002 0.063
PTF11lbm 357.0133125 26.74263611111111 0.039
PTF12as 150.39187083333331 0.44955833333333334 0.0332
PTF12eci 152.49088333333333 46.25078888888889 0.0874
iPTF13u 239.71335416666665 18.231424999999998 0.0991
iPTF13alq 177.00869999999998 54.57727222222223 0.054
iPTF13ebw 124.3161833333333 56.57821944444445 0.0686
iPTF14dby 229.2761958333333 25.35317777777778 0.0736
iPTF14gaq 323.22532083333334 17.743222222222222 0.0826
iPTF15dld 14.555320833333331 -3.663972222222222 0.047
iPTF15dqg 2.3403416666666663 -0.0685 0.0577
iPTF15eov 61.42319999999999 28.944630555555555 0.0535
iPTF16coi 329.7672416666666 18.186397222222222 0.0036
iPTF16gox 3.1176416666666666 32.75062222222222 0.042
iPTF16ilj 13.817945833333331 12.319777777777778 0.0397
iPTF17cw 135.90990416666665 43.097300000000004 0.093
iPTF17axg 189.12811666666664 51.64445 0.059
ZTF18aaqjovh 178.18175 25.67502777777778 0.054
ZTF18abklarx 229.26054166666665 3.9440833333333334 0.04
ZTF18abukavn 250.95091666666661 41.04538888888889 0.033
ZTF18abcraaa 333.8366666666666 31.23966666666667 0.09
SN2005ks 324.48566666666665 -0.03247222222222222 0.099
SN1997ef 119.26195833333333 49.56147222222222 0.011693
SN2002ap 24.099375 15.753666666666666 0.002187
SN2003jd 350.2640833333333 -4.8959722222222215 0.018826
SN2005kz 285.2075833333333 50.883833333333335 0.027
SN2007D 49.661291666666656 37.60733333333334 0.023146
SN2007ru 346.84662499999996 43.59280555555556 0.01546
SN2009bb 157.891125 -39.958333333333336 0.009937
SN2010ay 188.86329166666667 27.067444444444444 0.067
SN1998bw 293.76320833333324 -52.846138888888895 0.00867
SN2006aj 50.41545833333333 16.86738888888889 0.03342
SN2010bh 107.6325 -56.25561111111111 0.0592
SN2012ap 75.05716666666666 -3.3475555555555556 0.012
PTF09dh 221.1753333333333 49.72913888888889 0.076
SN2007bg 177.3590833333333 51.822722222222225 0.0346
