Name,RA,Dec,z
PTF09sk,202.7131125,30.3346888889,0.0355
PTF10bzf,176.01245,55.6910111111,0.0498
PTF10gvb,183.884504167,40.302625,0.098
PTF10qts,250.406658333,28.9725222222,0.0907
PTF10tqv,341.7294125,17.7915,0.0795
PTF10vgv,334.004870833,40.8675833333,0.015
PTF10xem,26.7786833333,13.9413194444,0.0566
PTF10ysd,355.269204167,24.1680166667,0.0963
PTF10aavz,170.055654167,3.7459,0.063
PTF11lbm,357.0133125,26.7426361111,0.039
PTF12as,150.391870833,0.449558333333,0.0332
PTF12eci,152.490883333,46.2507888889,0.0874
iPTF13u,239.713354167,18.231425,0.0991
iPTF13alq,177.0087,54.5772722222,0.054
iPTF13ebw,124.316183333,56.5782194444,0.0686
iPTF14dby,229.276195833,25.3531777778,0.0736
iPTF14gaq,323.225320833,17.7432222222,0.0826
iPTF15dld,14.5553208333,-3.66397222222,0.047
iPTF15dqg,2.34034166667,-0.0685,0.0577
iPTF15eov,61.4232,28.9446305556,0.0535
iPTF16coi,329.767241667,18.1863972222,0.0036
iPTF16gox,3.11764166667,32.7506222222,0.042
iPTF16ilj,13.8179458333,12.3197777778,0.0397
iPTF17cw,135.909904167,43.0973,0.093
iPTF17axg,189.128116667,51.64445,0.059
ZTF18aaqjovh,178.18175,25.6750277778,0.054
ZTF18abklarx,229.260541667,3.94408333333,0.04
ZTF18abukavn,250.950916667,41.0453888889,0.033
ZTF18abcraaa,333.836666667,31.2396666667,0.09
SN2005ks,324.485666667,-0.0324722222222,0.099
SN1997ef,119.261958333,49.5614722222,0.011693
SN2002ap,24.099375,15.7536666667,0.002187
SN2003jd,350.264083333,-4.89597222222,0.018826
SN2005kz,285.207583333,50.8838333333,0.027
SN2007D,49.6612916667,37.6073333333,0.023146
SN2007ru,346.846625,43.5928055556,0.01546
SN2009bb,157.891125,-39.9583333333,0.009937
SN2010ay,188.863291667,27.0674444444,0.067
SN1998bw,293.763208333,-52.8461388889,0.00867
SN2006aj,50.4154583333,16.8673888889,0.03342
SN2010bh,107.6325,-56.2556111111,0.0592
SN2012ap,75.0571666667,-3.34755555556,0.012
PTF09dh,221.175333333,49.7291388889,0.076
SN2007bg,177.359083333,51.8227222222,0.0346
SN2017iuk,11:09:39.52,-12:35:18.34,0.037022
